date,site,config,matched_to,dc_power_kw,genset_prime_kw,n_vehicles,e_demanded_kwh,runtime_hours,window_hours,feasible,gallons_day,capex_daily,fuel_cost,def_cost,var_om_cost,demand_charge,total_daily_cost,lcod_per_kwh,cost_rank,is_worst10
2025-05-01,northgate,Diesel_50kW,Kempower_50kW,50.0,60,25,3167.76,84.473,10.0,False,255.667,32.63,1774.33,19.18,63.36,0.0,1889.5,0.59648,93,False
2025-05-01,northgate,Diesel_150kW,Kempower_150kW,150.0,175,25,3167.76,28.158,10.0,False,255.667,81.16,1774.33,19.18,63.36,0.0,1938.02,0.6118,93,False
2025-05-01,northgate,Diesel_250kW,Kempower_250kW,250.0,300,25,3167.76,16.895,10.0,False,255.667,132.01,1774.33,19.18,63.36,0.0,1988.87,0.62785,93,False
2025-05-02,northgate,Diesel_50kW,Kempower_50kW,50.0,60,11,1011.55,26.975,10.0,False,81.642,32.63,566.59,6.12,20.23,0.0,625.58,0.61844,252,False
2025-05-02,northgate,Diesel_150kW,Kempower_150kW,150.0,175,11,1011.55,8.992,10.0,True,81.642,81.16,566.59,6.12,20.23,0.0,674.1,0.6664,252,False
2025-05-02,northgate,Diesel_250kW,Kempower_250kW,250.0,300,11,1011.55,5.395,10.0,True,81.642,132.01,566.59,6.12,20.23,0.0,724.95,0.71667,252,False
2025-05-03,northgate,Diesel_50kW,Kempower_50kW,50.0,60,1,82.9,2.211,1.0,False,6.691,32.63,46.43,0.5,1.66,0.0,81.23,0.97988,308,False
2025-05-03,northgate,Diesel_150kW,Kempower_150kW,150.0,175,1,82.9,0.737,1.0,True,6.691,81.16,46.43,0.5,1.66,0.0,129.75,1.56518,308,False
2025-05-03,northgate,Diesel_250kW,Kempower_250kW,250.0,300,1,82.9,0.442,1.0,True,6.691,132.01,46.43,0.5,1.66,0.0,180.6,2.17858,308,False
2025-05-04,northgate,Diesel_50kW,Kempower_50kW,50.0,60,1,91.69,2.445,1.0,False,7.4,32.63,51.36,0.56,1.83,0.0,86.38,0.94211,306,False
2025-05-04,northgate,Diesel_150kW,Kempower_150kW,150.0,175,1,91.69,0.815,1.0,True,7.4,81.16,51.36,0.56,1.83,0.0,134.9,1.47129,306,False
2025-05-04,northgate,Diesel_250kW,Kempower_250kW,250.0,300,1,91.69,0.489,1.0,True,7.4,132.01,51.36,0.56,1.83,0.0,185.75,2.02589,306,False
2025-05-05,northgate,Diesel_50kW,Kempower_50kW,50.0,60,39,4637.73,123.673,10.0,False,374.308,32.63,2597.7,28.07,92.75,0.0,2751.16,0.59321,4,True
2025-05-05,northgate,Diesel_150kW,Kempower_150kW,150.0,175,39,4637.73,41.224,10.0,False,374.308,81.16,2597.7,28.07,92.75,0.0,2799.68,0.60368,4,True
