date,site,config,matched_to,dc_power_kw,genset_prime_kw,n_vehicles,e_demanded_kwh,runtime_hours,window_hours,feasible,gallons_day,capex_daily,fuel_cost,def_cost,var_om_cost,demand_charge,total_daily_cost,lcod_per_kwh,cost_rank,is_worst10
2025-05-01,fresno,Diesel_50kW,Kempower_50kW,50.0,60,9,980.52,26.147,9.96,False,79.137,32.63,549.21,5.94,19.61,0.0,607.39,0.61946,183,False
2025-05-01,fresno,Diesel_150kW,Kempower_150kW,150.0,175,9,980.52,8.716,9.96,True,79.137,81.16,549.21,5.94,19.61,0.0,655.91,0.66894,183,False
2025-05-01,fresno,Diesel_250kW,Kempower_250kW,250.0,300,9,980.52,5.229,9.96,True,79.137,132.01,549.21,5.94,19.61,0.0,706.76,0.7208,183,False
2025-05-02,fresno,Diesel_50kW,Kempower_50kW,50.0,60,5,402.06,10.721,6.49,False,32.45,32.63,225.2,2.43,8.04,0.0,268.31,0.66735,248,False
2025-05-02,fresno,Diesel_150kW,Kempower_150kW,150.0,175,5,402.06,3.574,6.49,True,32.45,81.16,225.2,2.43,8.04,0.0,316.83,0.78803,248,False
2025-05-02,fresno,Diesel_250kW,Kempower_250kW,250.0,300,5,402.06,2.144,6.49,True,32.45,132.01,225.2,2.43,8.04,0.0,367.68,0.9145,248,False
2025-05-05,fresno,Diesel_50kW,Kempower_50kW,50.0,60,5,627.01,16.72,7.06,False,50.606,32.63,351.2,3.8,12.54,0.0,400.17,0.63822,228,False
2025-05-05,fresno,Diesel_150kW,Kempower_150kW,150.0,175,5,627.01,5.573,7.06,True,50.606,81.16,351.2,3.8,12.54,0.0,448.69,0.7156,228,False
2025-05-05,fresno,Diesel_250kW,Kempower_250kW,250.0,300,5,627.01,3.344,7.06,True,50.606,132.01,351.2,3.8,12.54,0.0,499.54,0.7967,228,False
2025-05-06,fresno,Diesel_50kW,Kempower_50kW,50.0,60,6,631.53,16.841,10.0,False,50.971,32.63,353.74,3.82,12.63,0.0,402.82,0.63785,227,False
2025-05-06,fresno,Diesel_150kW,Kempower_150kW,150.0,175,6,631.53,5.614,10.0,True,50.971,81.16,353.74,3.82,12.63,0.0,451.34,0.71467,227,False
2025-05-06,fresno,Diesel_250kW,Kempower_250kW,250.0,300,6,631.53,3.368,10.0,True,50.971,132.01,353.74,3.82,12.63,0.0,502.19,0.79519,227,False
2025-05-07,fresno,Diesel_50kW,Kempower_50kW,50.0,60,12,1216.18,32.431,10.0,False,98.157,32.63,681.21,7.36,24.32,0.0,745.53,0.61301,127,False
2025-05-07,fresno,Diesel_150kW,Kempower_150kW,150.0,175,12,1216.18,10.81,10.0,False,98.157,81.16,681.21,7.36,24.32,0.0,794.05,0.6529,127,False
2025-05-07,fresno,Diesel_250kW,Kempower_250kW,250.0,300,12,1216.18,6.486,10.0,True,98.157,132.01,681.21,7.36,24.32,0.0,844.9,0.69472,127,False
2025-05-08,fresno,Diesel_50kW,Kempower_50kW,50.0,60,8,833.22,22.219,10.0,False,67.248,32.63,466.7,5.04,16.66,0.0,521.04,0.62534,203,False
2025-05-08,fresno,Diesel_150kW,Kempower_150kW,150.0,175,8,833.22,7.406,10.0,True,67.248,81.16,466.7,5.04,16.66,0.0,569.57,0.68358,203,False
2025-05-08,fresno,Diesel_250kW,Kempower_250kW,250.0,300,8,833.22,4.444,10.0,True,67.248,132.01,466.7,5.04,16.66,0.0,620.42,0.74461,203,False
2025-05-09,fresno,Diesel_50kW,Kempower_50kW,50.0,60,8,977.1,26.056,10.0,False,78.861,32.63,547.3,5.91,19.54,0.0,605.39,0.61958,185,False
2025-05-09,fresno,Diesel_150kW,Kempower_150kW,150.0,175,8,977.1,8.685,10.0,True,78.861,81.16,547.3,5.91,19.54,0.0,653.91,0.66923,185,False
2025-05-09,fresno,Diesel_250kW,Kempower_250kW,250.0,300,8,977.1,5.211,10.0,True,78.861,132.01,547.3,5.91,19.54,0.0,704.76,0.72128,185,False
2025-05-12,fresno,Diesel_50kW,Kempower_50kW,50.0,60,10,1159.19,30.912,8.99,False,93.557,32.63,649.29,7.02,23.18,0.0,712.12,0.61433,140,False
2025-05-12,fresno,Diesel_150kW,Kempower_150kW,150.0,175,10,1159.19,10.304,8.99,False,93.557,81.16,649.29,7.02,23.18,0.0,760.64,0.65618,140,False
2025-05-12,fresno,Diesel_250kW,Kempower_250kW,250.0,300,10,1159.19,6.182,8.99,True,93.557,132.01,649.29,7.02,23.18,0.0,811.49,0.70005,140,False
2025-05-13,fresno,Diesel_50kW,Kempower_50kW,50.0,60,16,1850.52,49.347,10.0,False,149.354,32.63,1036.52,11.2,37.01,0.0,1117.36,0.60381,34,False
2025-05-13,fresno,Diesel_150kW,Kempower_150kW,150.0,175,16,1850.52,16.449,10.0,False,149.354,81.16,1036.52,11.2,37.01,0.0,1165.88,0.63003,34,False
2025-05-13,fresno,Diesel_250kW,Kempower_250kW,250.0,300,16,1850.52,9.869,10.0,True,149.354,132.01,1036.52,11.2,37.01,0.0,1216.73,0.65751,34,False
2025-05-14,fresno,Diesel_50kW,Kempower_50kW,50.0,60,20,2536.54,67.641,10.0,False,204.723,32.63,1420.78,15.35,50.73,0.0,1519.49,0.59904,5,True
2025-05-14,fresno,Diesel_150kW,Kempower_150kW,150.0,175,20,2536.54,22.547,10.0,False,204.723,81.16,1420.78,15.35,50.73,0.0,1568.02,0.61817,5,True
2025-05-14,fresno,Diesel_250kW,Kempower_250kW,250.0,300,20,2536.54,13.528,10.0,False,204.723,132.01,1420.78,15.35,50.73,0.0,1618.87,0.63822,5,True
2025-05-15,fresno,Diesel_50kW,Kempower_50kW,50.0,60,16,1930.46,51.479,10.0,False,155.806,32.63,1081.29,11.69,38.61,0.0,1164.22,0.60308,29,False
2025-05-15,fresno,Diesel_150kW,Kempower_150kW,150.0,175,16,1930.46,17.16,10.0,False,155.806,81.16,1081.29,11.69,38.61,0.0,1212.74,0.62821,29,False
2025-05-15,fresno,Diesel_250kW,Kempower_250kW,250.0,300,16,1930.46,10.296,10.0,False,155.806,132.01,1081.29,11.69,38.61,0.0,1263.59,0.65455,29,False
2025-05-16,fresno,Diesel_50kW,Kempower_50kW,50.0,60,6,570.25,15.207,6.58,False,46.024,32.63,319.41,3.45,11.4,0.0,366.9,0.6434,235,False
2025-05-16,fresno,Diesel_150kW,Kempower_150kW,150.0,175,6,570.25,5.069,6.58,True,46.024,81.16,319.41,3.45,11.4,0.0,415.42,0.72849,235,False
2025-05-16,fresno,Diesel_250kW,Kempower_250kW,250.0,300,6,570.25,3.041,6.58,True,46.024,132.01,319.41,3.45,11.4,0.0,466.27,0.81766,235,False
2025-05-19,fresno,Diesel_50kW,Kempower_50kW,50.0,60,12,1511.21,40.299,9.72,False,121.968,32.63,846.46,9.15,30.22,0.0,918.47,0.60777,64,False
2025-05-19,fresno,Diesel_150kW,Kempower_150kW,150.0,175,12,1511.21,13.433,9.72,False,121.968,81.16,846.46,9.15,30.22,0.0,966.99,0.63988,64,False
2025-05-19,fresno,Diesel_250kW,Kempower_250kW,250.0,300,12,1511.21,8.06,9.72,True,121.968,132.01,846.46,9.15,30.22,0.0,1017.84,0.67353,64,False
2025-05-20,fresno,Diesel_50kW,Kempower_50kW,50.0,60,8,794.97,21.199,10.0,False,64.162,32.63,445.28,4.81,15.9,0.0,498.63,0.62723,209,False
2025-05-20,fresno,Diesel_150kW,Kempower_150kW,150.0,175,8,794.97,7.066,10.0,True,64.162,81.16,445.28,4.81,15.9,0.0,547.15,0.68826,209,False
2025-05-20,fresno,Diesel_250kW,Kempower_250kW,250.0,300,8,794.97,4.24,10.0,True,64.162,132.01,445.28,4.81,15.9,0.0,598.0,0.75223,209,False
2025-05-21,fresno,Diesel_50kW,Kempower_50kW,50.0,60,16,1655.0,44.133,10.0,False,133.574,32.63,927.0,10.02,33.1,0.0,1002.75,0.60589,51,False
2025-05-21,fresno,Diesel_150kW,Kempower_150kW,150.0,175,16,1655.0,14.711,10.0,False,133.574,81.16,927.0,10.02,33.1,0.0,1051.28,0.63521,51,False
