date,site,config,matched_to,dc_power_kw,genset_prime_kw,n_vehicles,e_demanded_kwh,runtime_hours,window_hours,feasible,gallons_day,capex_daily,fuel_cost,def_cost,var_om_cost,demand_charge,total_daily_cost,lcod_per_kwh,cost_rank,is_worst10
2025-05-01,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,1,117.65,3.137,1.0,False,9.496,32.63,65.9,0.71,2.35,0.0,101.6,0.86356,248,False
2025-05-01,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,1,117.65,1.046,1.0,False,9.496,81.16,65.9,0.71,2.35,0.0,150.12,1.27597,248,False
2025-05-01,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,1,117.65,0.627,1.0,True,9.496,132.01,65.9,0.71,2.35,0.0,200.97,1.70817,248,False
2025-05-02,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,1,53.93,1.438,1.0,False,4.353,32.63,30.21,0.33,1.08,0.0,64.25,1.19129,255,False
2025-05-02,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,1,53.93,0.479,1.0,True,4.353,81.16,30.21,0.33,1.08,0.0,112.77,2.09093,255,False
2025-05-02,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,1,53.93,0.288,1.0,True,4.353,132.01,30.21,0.33,1.08,0.0,163.62,3.03376,255,False
2025-05-05,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,3,342.94,9.145,2.99,False,27.678,32.63,192.09,2.08,6.86,0.0,233.65,0.68132,183,False
2025-05-05,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,3,342.94,3.048,2.99,False,27.678,81.16,192.09,2.08,6.86,0.0,282.18,0.82284,183,False
2025-05-05,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,3,342.94,1.829,2.99,True,27.678,132.01,192.09,2.08,6.86,0.0,333.03,0.97111,183,False
2025-05-06,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,3,366.6,9.776,5.61,False,29.588,32.63,205.34,2.22,7.33,0.0,247.53,0.6752,165,False
2025-05-06,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,3,366.6,3.259,5.61,True,29.588,81.16,205.34,2.22,7.33,0.0,296.05,0.80755,165,False
2025-05-06,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,3,366.6,1.955,5.61,True,29.588,132.01,205.34,2.22,7.33,0.0,346.9,0.94626,165,False
2025-05-07,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,2,237.92,6.344,1.01,False,19.202,32.63,133.26,1.44,4.76,0.0,172.09,0.72332,211,False
2025-05-07,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,2,237.92,2.115,1.01,False,19.202,81.16,133.26,1.44,4.76,0.0,220.62,0.9273,211,False
2025-05-07,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,2,237.92,1.269,1.01,False,19.202,132.01,133.26,1.44,4.76,0.0,271.47,1.14103,211,False
2025-05-08,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,2,254.36,6.783,5.26,False,20.529,32.63,142.47,1.54,5.09,0.0,181.73,0.71445,203,False
2025-05-08,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,2,254.36,2.261,5.26,True,20.529,81.16,142.47,1.54,5.09,0.0,230.26,0.90525,203,False
2025-05-08,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,2,254.36,1.357,5.26,True,20.529,132.01,142.47,1.54,5.09,0.0,281.11,1.10516,203,False
2025-05-11,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,1,212.7,5.672,1.0,False,17.167,32.63,119.14,1.29,4.25,0.0,157.31,0.73959,218,False
2025-05-11,glendale_smud,Diesel_150kW,Kempower_150kW,150.0,175,1,212.7,1.891,1.0,False,17.167,81.16,119.14,1.29,4.25,0.0,205.84,0.96775,218,False
2025-05-11,glendale_smud,Diesel_250kW,Kempower_250kW,250.0,300,1,212.7,1.134,1.0,False,17.167,132.01,119.14,1.29,4.25,0.0,256.69,1.20682,218,False
2025-05-12,glendale_smud,Diesel_50kW,Kempower_50kW,50.0,60,2,246.29,6.568,1.29,False,19.878,32.63,137.95,1.49,4.93,0.0,177.0,0.71867,207,False
