date,site,config,matched_to,dc_power_kw,genset_prime_kw,n_vehicles,e_demanded_kwh,runtime_hours,window_hours,feasible,gallons_day,capex_daily,fuel_cost,def_cost,var_om_cost,demand_charge,total_daily_cost,lcod_per_kwh,cost_rank,is_worst10
2025-05-01,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,44,5129.59,136.789,10.0,False,414.006,32.63,2873.2,31.05,102.59,0.0,3039.48,0.59254,240,False
2025-05-01,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,44,5129.59,45.596,10.0,False,414.006,81.16,2873.2,31.05,102.59,0.0,3088.0,0.602,240,False
2025-05-01,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,44,5129.59,27.358,10.0,False,414.006,132.01,2873.2,31.05,102.59,0.0,3138.85,0.61191,240,False
2025-05-02,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,61,6534.08,174.242,10.0,False,527.362,32.63,3659.89,39.55,130.68,0.0,3862.76,0.59117,217,False
2025-05-02,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,61,6534.08,58.081,10.0,False,527.362,81.16,3659.89,39.55,130.68,0.0,3911.28,0.5986,217,False
2025-05-02,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,61,6534.08,34.848,10.0,False,527.362,132.01,3659.89,39.55,130.68,0.0,3962.13,0.60638,217,False
2025-05-03,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,17,2156.91,57.518,10.0,False,174.083,32.63,1208.14,13.06,43.14,0.0,1296.96,0.6013,259,False
2025-05-03,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,17,2156.91,19.173,10.0,False,174.083,81.16,1208.14,13.06,43.14,0.0,1345.49,0.6238,259,False
2025-05-03,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,17,2156.91,11.504,10.0,False,174.083,132.01,1208.14,13.06,43.14,0.0,1396.34,0.64738,259,False
2025-05-05,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,83,10274.12,273.976,10.0,False,829.217,32.63,5754.77,62.19,205.48,0.0,6055.07,0.58935,26,False
2025-05-05,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,83,10274.12,91.325,10.0,False,829.217,81.16,5754.77,62.19,205.48,0.0,6103.6,0.59408,26,False
2025-05-05,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,83,10274.12,54.795,10.0,False,829.217,132.01,5754.77,62.19,205.48,0.0,6154.45,0.59902,26,False
2025-05-06,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,83,8974.03,239.307,10.0,False,724.288,32.63,5026.56,54.32,179.48,0.0,5292.99,0.58981,84,False
2025-05-06,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,83,8974.03,79.769,10.0,False,724.288,81.16,5026.56,54.32,179.48,0.0,5341.51,0.59522,84,False
2025-05-06,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,83,8974.03,47.861,10.0,False,724.288,132.01,5026.56,54.32,179.48,0.0,5392.37,0.60089,84,False
2025-05-07,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,70,8081.22,215.499,10.0,False,652.23,32.63,4526.48,48.92,161.62,0.0,4769.65,0.59021,146,False
2025-05-07,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,70,8081.22,71.833,10.0,False,652.23,81.16,4526.48,48.92,161.62,0.0,4818.18,0.59622,146,False
2025-05-07,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,70,8081.22,43.1,10.0,False,652.23,132.01,4526.48,48.92,161.62,0.0,4869.03,0.60251,146,False
2025-05-08,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,86,10371.49,276.573,10.0,False,837.076,32.63,5809.31,62.78,207.43,0.0,6112.15,0.58932,22,False
2025-05-08,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,86,10371.49,92.191,10.0,False,837.076,81.16,5809.31,62.78,207.43,0.0,6160.68,0.594,22,False
2025-05-08,san_diego,Diesel_250kW,Kempower_250kW,250.0,300,86,10371.49,55.315,10.0,False,837.076,132.01,5809.31,62.78,207.43,0.0,6211.53,0.5989,22,False
2025-05-09,san_diego,Diesel_50kW,Kempower_50kW,50.0,60,63,7464.49,199.053,10.0,False,602.454,32.63,4181.03,45.18,149.29,0.0,4408.14,0.59055,179,False
2025-05-09,san_diego,Diesel_150kW,Kempower_150kW,150.0,175,63,7464.49,66.351,10.0,False,602.454,81.16,4181.03,45.18,149.29,0.0,4456.66,0.59705,179,False
