date,technology,config,n_vehicles,e_demanded_kwh,capex_daily,energy_cost,demand_charge,total_daily_cost,lcod_per_kwh,site,site_label,technology_label
2025-12-23,Fixed DCFC,Fixed DCFC (MILP optimal),27,3230.1,954.28,475.91,24785.14,26215.33,8.115949970589147,northgate,Northgate,Fixed DCFC
2025-09-18,Fixed DCFC,Fixed DCFC (MILP optimal),22,2396.8,605.55,492.48,23619.75,24717.78,10.31282543391188,northgate,Northgate,Fixed DCFC
2026-01-15,Fixed DCFC,Fixed DCFC (MILP optimal),22,2747.4,597.33,384.12,23307.88,24289.33,8.840842250855355,northgate,Northgate,Fixed DCFC
2025-12-03,Fixed DCFC,Fixed DCFC (MILP optimal),35,4257.7,582.95,592.64,22634.91,23810.5,5.592338586560819,northgate,Northgate,Fixed DCFC
2025-09-08,Fixed DCFC,Fixed DCFC (MILP optimal),34,3853.2,582.95,695.68,20441.41,21720.04,5.636883629191322,northgate,Northgate,Fixed DCFC
2025-10-14,Fixed DCFC,Fixed DCFC (MILP optimal),37,4482.8,818.54,631.36,19342.2,20792.1,4.638194878201124,northgate,Northgate,Fixed DCFC
2026-02-11,Fixed DCFC,Fixed DCFC (MILP optimal),37,5130.9,598.56,622.28,19452.96,20673.800000000003,4.029273616714417,northgate,Northgate,Fixed DCFC
2026-02-12,Fixed DCFC,Fixed DCFC (MILP optimal),31,3828.5,511.59,526.46,19398.0,20436.050000000003,5.337873840929869,northgate,Northgate,Fixed DCFC
2025-12-01,Fixed DCFC,Fixed DCFC (MILP optimal),21,3031.5,773.48,381.01,19158.16,20312.65,6.700527791522349,northgate,Northgate,Fixed DCFC
2026-03-16,Fixed DCFC,Fixed DCFC (MILP optimal),24,3410.1,511.72,485.79,19204.38,20201.89,5.924134189613207,northgate,Northgate,Fixed DCFC
2025-05-20,Fixed DCFC,Fixed DCFC (MILP optimal),37,4513.8,615.28,627.15,18923.9,20166.33,4.467705702512296,northgate,Northgate,Fixed DCFC
2025-06-17,Fixed DCFC,Fixed DCFC (MILP optimal),36,4558.3,788.95,792.75,18383.68,19965.38,4.380005703880832,northgate,Northgate,Fixed DCFC
2026-02-02,Fixed DCFC,Fixed DCFC (MILP optimal),15,2305.1,535.56,319.13,19040.24,19894.93,8.630831634202421,northgate,Northgate,Fixed DCFC
2025-06-19,Fixed DCFC,Fixed DCFC (MILP optimal),25,2763.7,639.11,508.8,18698.83,19846.739999999998,7.181220827152006,northgate,Northgate,Fixed DCFC
2025-05-15,Fixed DCFC,Fixed DCFC (MILP optimal),29,3426.9,582.95,458.7,17453.41,18495.059999999998,5.397023548980127,northgate,Northgate,Fixed DCFC
2025-05-14,Fixed DCFC,Fixed DCFC (MILP optimal),32,3662.4,1055.5,517.98,16867.36,18440.84,5.035179117518567,northgate,Northgate,Fixed DCFC
2025-07-17,Fixed DCFC,Fixed DCFC (MILP optimal),29,3724.2,1023.18,609.89,16726.28,18359.35,4.92974330057462,northgate,Northgate,Fixed DCFC
2026-04-14,Fixed DCFC,Fixed DCFC (MILP optimal),31,3790.4,723.35,464.9,17123.129999999997,18311.379999999997,4.8309888138455035,northgate,Northgate,Fixed DCFC
2025-05-19,Fixed DCFC,Fixed DCFC (MILP optimal),27,3190.5,651.98,469.74,17083.300000000003,18205.02,5.706008462623413,northgate,Northgate,Fixed DCFC
2026-03-09,Fixed DCFC,Fixed DCFC (MILP optimal),23,2961.4,637.74,388.93,17147.0,18173.67,6.136850813804281,northgate,Northgate,Fixed DCFC
2025-10-13,Fixed DCFC,Fixed DCFC (MILP optimal),36,4348.0,629.38,597.74,16935.9,18163.02,4.177327506899724,northgate,Northgate,Fixed DCFC
2026-03-26,Fixed DCFC,Fixed DCFC (MILP optimal),20,2335.9,479.4,312.77,17083.300000000003,17875.47,7.65249796652254,northgate,Northgate,Fixed DCFC
2026-03-25,Fixed DCFC,Fixed DCFC (MILP optimal),25,2965.5,448.58,438.53,16935.9,17823.010000000002,6.010119709998315,northgate,Northgate,Fixed DCFC
2025-09-15,Fixed DCFC,Fixed DCFC (MILP optimal),42,5208.9,606.78,869.11,16146.26,17622.15,3.383084720382423,northgate,Northgate,Fixed DCFC
