date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-09-25,29,5,False,12,17,41.4,583.41,579.88,26.06,0.0,1189.35,415.0,102500,1,True
2025-09-24,24,4,False,9,15,37.5,464.54,551.83,20.85,0.0,1037.21,332.0,74000,2,True
2025-10-30,22,4,False,11,11,50.0,464.54,523.01,20.85,0.0,1008.39,332.0,74000,3,True
2026-01-08,26,5,False,12,14,46.2,583.41,312.29,26.06,0.0,921.76,415.0,102500,4,True
2025-09-23,24,4,False,13,11,54.2,464.54,414.7,20.85,0.0,900.08,332.0,74000,5,True
2025-05-29,22,4,False,7,15,31.8,464.54,407.94,20.85,0.0,893.32,332.0,74000,6,True
2025-11-20,14,4,False,4,10,28.6,464.54,355.21,20.85,0.0,840.6,332.0,74000,7,True
2026-03-12,20,4,False,13,7,65.0,464.54,353.59,20.85,0.0,838.98,332.0,74000,8,True
2025-05-14,20,4,False,3,17,15.0,464.54,352.04,20.85,0.0,837.42,332.0,74000,9,True
2025-10-21,20,4,False,8,12,40.0,464.54,349.6,20.85,0.0,834.98,332.0,74000,10,True
2026-04-22,17,3,False,7,10,41.2,351.14,446.01,15.63,0.0,812.78,249.0,65500,11,False
2025-09-04,20,3,False,6,14,30.0,351.14,445.08,15.63,0.0,811.85,249.0,65500,12,False
2025-06-13,14,4,False,6,8,42.9,464.54,312.37,20.85,0.0,797.76,332.0,74000,13,False
2025-07-23,16,3,False,6,10,37.5,351.14,421.2,15.63,0.0,787.98,249.0,65500,14,False
2026-04-27,22,3,False,8,14,36.4,351.14,411.23,15.63,0.0,778.0,249.0,65500,15,False
2026-03-17,19,3,False,10,9,52.6,351.14,406.72,15.63,0.0,773.49,249.0,65500,16,False
2025-05-28,18,3,False,6,12,33.3,351.14,405.13,15.63,0.0,771.91,249.0,65500,17,False
2026-04-15,19,3,False,6,13,31.6,351.14,402.96,15.63,0.0,769.73,249.0,65500,18,False
2026-01-13,19,4,False,8,11,42.1,464.54,285.05,15.63,0.0,765.23,249.0,74000,19,False
2026-02-03,19,3,False,3,16,15.8,351.14,367.17,15.63,0.0,733.95,249.0,65500,20,False
2025-05-15,16,3,False,3,13,18.8,351.14,350.59,15.63,0.0,717.37,249.0,65500,21,False
2026-03-19,17,3,False,7,10,41.2,351.14,349.32,15.63,0.0,716.09,249.0,65500,22,False
2026-04-30,16,3,False,8,8,50.0,351.14,345.62,15.63,0.0,712.4,249.0,65500,23,False
2025-10-16,19,3,False,8,11,42.1,351.14,342.38,15.63,0.0,709.16,249.0,65500,24,False
2025-08-27,15,3,False,7,8,46.7,351.14,341.13,15.63,0.0,707.91,249.0,65500,25,False
2026-02-17,15,3,False,10,5,66.7,351.14,339.37,15.63,0.0,706.15,249.0,65500,26,False
2025-09-29,18,4,False,12,6,66.7,464.54,217.93,20.85,0.0,703.32,332.0,74000,27,False
2026-04-28,17,3,False,7,10,41.2,351.14,331.76,15.63,0.0,698.54,249.0,65500,28,False
2025-06-04,14,3,False,8,6,57.1,351.14,320.56,15.63,0.0,687.34,249.0,65500,29,False
2025-08-13,15,3,False,7,8,46.7,351.14,320.08,15.63,0.0,686.86,249.0,65500,30,False
2025-09-03,17,4,False,9,8,52.9,464.54,197.16,20.85,0.0,682.54,332.0,74000,31,False
2025-09-15,21,3,False,11,10,52.4,351.14,314.21,15.63,0.0,680.99,249.0,65500,32,False
2025-07-18,13,4,False,7,6,53.8,464.54,190.66,20.85,0.0,676.04,332.0,74000,33,False
2025-12-11,19,3,False,3,16,15.8,351.14,308.8,15.63,0.0,675.58,249.0,65500,34,False
2025-05-21,16,3,False,7,9,43.8,351.14,307.46,15.63,0.0,674.24,249.0,65500,35,False
2025-06-03,12,3,False,6,6,50.0,351.14,304.49,15.63,0.0,671.27,249.0,65500,36,False
2025-07-24,16,3,False,7,9,43.8,351.14,302.49,15.63,0.0,669.27,249.0,65500,37,False
2026-01-15,19,3,False,8,11,42.1,351.14,300.38,15.63,0.0,667.15,249.0,65500,38,False
