date,worst_day_rank,total_daily_cost,n_xos_units,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2025-09-25,1,1189.35,5,z2z_20250925_v01,7013021,BYD 6F Cab-Forward Truck,06:24,07:24,1.0,92.0,76.0,16.0,partial,06:15,07:15,1.25,49.7,91.3
2025-09-25,1,1189.35,5,z2z_20250925_v02,7005193,Freightliner eM2,06:25,08:36,2.18,157.8,157.8,0.0,full,06:15,08:15,2.25,49.9,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v03,7013131,Freightliner eCascadia,06:37,07:37,1.0,219.6,76.0,143.6,partial,06:30,07:30,1.25,49.9,67.2
2025-09-25,1,1189.35,5,z2z_20250925_v04,7011189,GMC Hummer EV,06:46,07:46,1.0,106.6,76.0,30.6,partial,06:45,07:45,1.25,49.9,85.6
2025-09-25,1,1189.35,5,z2z_20250925_v05,7013129,Freightliner eCascadia,07:12,09:40,2.46,321.2,187.3,133.9,partial,07:00,09:30,2.75,26.7,69.4
2025-09-25,1,1189.35,5,z2z_20250925_v06,7010770,Ford F-150 Lightning,07:13,08:13,1.0,65.7,65.7,0.0,full,07:00,08:00,1.25,49.9,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v07,7003925,GMC Hummer EV,07:37,08:37,1.0,129.7,76.0,53.7,partial,07:30,08:30,1.25,39.0,74.7
2025-09-25,1,1189.35,5,z2z_20250925_v08,7016461,Ford F-150 Lightning,08:03,09:03,1.0,65.6,65.6,0.0,full,08:00,08:45,1.0,49.9,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v09,7009610,Ford F-150 Lightning,08:10,09:10,1.0,73.8,73.8,0.0,full,08:00,09:00,1.25,43.7,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v10,7011902,Rivian R1T,08:33,09:33,1.0,67.6,67.6,0.0,full,08:30,09:15,1.0,49.9,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v11,7012969,GMC Hummer EV,08:54,09:54,1.0,107.8,76.0,31.8,partial,08:45,09:45,1.25,49.3,85.1
2025-09-25,1,1189.35,5,z2z_20250925_v12,7016229,Chevrolet Silverado EV WT,08:59,09:59,1.0,145.7,76.0,69.7,partial,08:45,09:45,1.25,27.1,65.2
2025-09-25,1,1189.35,5,z2z_20250925_v13,7009801,Rivian R1S,09:17,10:17,1.0,135.0,76.0,59.0,partial,09:15,10:15,1.25,0.0,56.3
2025-09-25,1,1189.35,5,z2z_20250925_v14,7011902,Rivian R1T,10:48,11:48,1.0,77.7,76.0,1.7,partial,10:45,11:45,1.25,42.5,98.7
2025-09-25,1,1189.35,5,z2z_20250925_v15,7016539,Chevrolet Silverado EV WT,10:52,11:52,1.0,106.8,76.0,30.8,partial,10:45,11:45,1.25,46.6,84.6
2025-09-25,1,1189.35,5,z2z_20250925_v16,7003925,GMC Hummer EV,11:43,12:43,1.0,107.2,76.0,31.2,partial,11:30,12:30,1.25,49.6,85.4
2025-09-25,1,1189.35,5,z2z_20250925_v17,7014268,GMC Hummer EV,12:27,13:27,1.0,156.1,76.0,80.1,partial,12:15,13:15,1.25,26.6,62.3
2025-09-25,1,1189.35,5,z2z_20250925_v18,7016539,Chevrolet Silverado EV WT,12:44,15:17,26.56,104.6,104.6,0.0,full,12:30,14:00,1.75,47.7,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v19,7012969,GMC Hummer EV,12:44,13:44,1.0,114.8,76.0,38.8,partial,12:30,13:30,1.25,46.0,81.8
2025-09-25,1,1189.35,5,z2z_20250925_v20,7012699,GMC Hummer EV,12:55,09:48,20.88,106.5,106.5,0.0,full,12:45,14:15,1.75,49.9,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v21,7016409,Ford F-150 Lightning,12:58,13:58,1.0,131.0,76.0,55.0,partial,12:45,13:45,1.25,0.0,58.0
2025-09-25,1,1189.35,5,z2z_20250925_v22,7009674,Ford F-150 Lightning,12:58,13:58,1.0,131.0,76.0,55.0,partial,12:45,13:45,1.25,0.0,58.0
2025-09-25,1,1189.35,5,z2z_20250925_v23,7012969,GMC Hummer EV,13:07,07:30,18.39,107.7,107.7,0.0,full,13:00,14:30,1.75,49.4,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v24,7005193,Freightliner eM2,13:50,14:50,1.0,157.8,76.0,81.8,partial,13:45,14:45,1.25,49.9,74.0
2025-09-25,1,1189.35,5,z2z_20250925_v25,7016560,Chevrolet Silverado EV WT,14:30,07:44,89.23,100.2,100.2,0.0,full,14:30,15:45,1.5,49.9,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v26,7016459,Ford F-150 Lightning,15:52,16:52,1.0,83.3,76.0,7.3,partial,15:45,16:45,1.25,36.4,94.5
2025-09-25,1,1189.35,5,z2z_20250925_v27,7011910,Rivian R1T,17:49,18:49,1.0,68.5,68.5,0.0,full,17:45,18:30,1.0,49.3,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v28,7011910,Rivian R1T,20:10,21:10,1.0,68.0,68.0,0.0,full,20:00,21:00,1.25,49.7,100.0
2025-09-25,1,1189.35,5,z2z_20250925_v29,7011910,Rivian R1T,23:43,00:43,1.0,67.7,67.7,0.0,full,23:30,00:30,1.25,49.9,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v01,7007163,Freightliner eM2,06:13,07:13,1.0,157.9,76.0,81.9,partial,06:00,07:00,1.25,49.9,74.0
2025-09-24,2,1037.21,4,z2z_20250924_v02,7005269,Freightliner eCascadia,06:21,07:21,1.0,219.6,76.0,143.6,partial,06:15,07:15,1.25,49.9,67.2
2025-09-24,2,1037.21,4,z2z_20250924_v03,7014220,GMC Hummer EV,06:45,08:02,1.28,106.5,97.0,9.5,partial,06:45,08:00,1.5,49.9,95.5
2025-09-24,2,1037.21,4,z2z_20250924_v04,7010770,Ford F-150 Lightning,06:50,07:50,1.0,70.0,70.0,0.0,full,06:45,07:45,1.25,46.6,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v05,7012153,GMC Hummer EV,06:57,07:57,1.0,106.5,76.0,30.5,partial,06:45,07:45,1.25,49.9,85.7
2025-09-24,2,1037.21,4,z2z_20250924_v06,7012150,GMC Hummer EV,07:19,08:19,1.0,106.5,76.0,30.5,partial,07:15,08:15,1.25,49.9,85.7
2025-09-24,2,1037.21,4,z2z_20250924_v07,7003925,GMC Hummer EV,07:23,08:23,1.0,129.6,76.0,53.6,partial,07:15,08:15,1.25,39.0,74.8
2025-09-24,2,1037.21,4,z2z_20250924_v08,7005193,Freightliner eM2,07:29,08:29,1.0,157.8,76.0,81.8,partial,07:15,08:15,1.25,49.9,74.0
2025-09-24,2,1037.21,4,z2z_20250924_v09,7011140,Freightliner eCascadia,07:47,08:47,1.0,219.7,76.0,143.7,partial,07:45,08:45,1.25,49.8,67.2
2025-09-24,2,1037.21,4,z2z_20250924_v10,7009252,Rivian R1S,08:01,09:01,1.0,114.1,76.0,38.1,partial,08:00,09:00,1.25,15.5,71.8
2025-09-24,2,1037.21,4,z2z_20250924_v11,7016377,Ford F-150 Lightning,10:18,11:18,1.0,131.0,76.0,55.0,partial,10:15,11:15,1.25,0.0,58.0
2025-09-24,2,1037.21,4,z2z_20250924_v12,7018522,GMC Hummer EV,10:40,11:40,1.0,106.7,76.0,30.7,partial,10:30,11:30,1.25,49.8,85.6
2025-09-24,2,1037.21,4,z2z_20250924_v13,7002505,GMC Hummer EV,10:51,11:51,1.0,118.6,76.0,42.6,partial,10:45,11:45,1.25,44.2,80.0
2025-09-24,2,1037.21,4,z2z_20250924_v14,7010770,Ford F-150 Lightning,11:13,12:13,1.0,71.6,71.6,0.0,full,11:00,12:00,1.25,45.4,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v15,7009252,Rivian R1S,11:13,12:13,1.0,67.7,67.7,0.0,full,11:00,12:00,1.25,49.9,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v16,7003925,GMC Hummer EV,11:32,12:32,1.0,106.8,76.0,30.8,partial,11:30,12:30,1.25,49.8,85.5
2025-09-24,2,1037.21,4,z2z_20250924_v17,7012969,GMC Hummer EV,11:41,13:57,2.26,114.9,114.9,0.0,full,11:30,13:00,1.75,46.0,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v18,7009612,Ford F-150 Lightning,12:30,13:30,1.0,70.6,70.6,0.0,full,12:30,13:15,1.0,46.1,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v19,7012699,GMC Hummer EV,12:53,10:34,21.67,113.2,113.2,0.0,full,12:45,14:15,1.75,46.8,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v20,7011354,Volvo VNR 4X2 Electric,13:07,07:38,114.51,288.8,288.8,0.0,full,13:00,19:00,6.25,23.0,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v21,7002255,Freightliner eM2,14:26,15:39,1.22,157.8,92.6,65.1,partial,14:15,15:30,1.5,49.9,79.3
2025-09-24,2,1037.21,4,z2z_20250924_v22,7017025,GMC Hummer EV,14:50,15:50,1.0,106.5,76.0,30.5,partial,14:45,15:45,1.25,49.9,85.6
2025-09-24,2,1037.21,4,z2z_20250924_v23,7011910,Rivian R1T,17:34,18:34,1.0,67.9,67.9,0.0,full,17:30,18:15,1.0,49.7,100.0
2025-09-24,2,1037.21,4,z2z_20250924_v24,7011910,Rivian R1T,23:32,00:32,1.0,67.7,67.7,0.0,full,23:30,00:15,1.0,49.8,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v01,7007156,BYD 6F Cab-Forward Truck,07:05,08:05,1.0,91.9,76.0,15.9,partial,07:00,08:00,1.25,49.8,91.3
2025-10-30,3,1008.39,4,z2z_20251030_v02,7017882,Blue Arc EV,07:05,08:05,1.0,79.4,76.0,3.4,partial,07:00,08:00,1.25,49.8,97.9
2025-10-30,3,1008.39,4,z2z_20251030_v03,7009677,Ford F-150 Lightning,08:31,09:31,1.0,65.6,65.6,0.0,full,08:30,09:15,1.0,49.9,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v04,7017882,Blue Arc EV,08:50,09:50,1.0,79.5,76.0,3.5,partial,08:45,09:45,1.25,49.7,97.8
2025-10-30,3,1008.39,4,z2z_20251030_v05,7014370,GMC Hummer EV,09:56,10:56,1.0,106.7,76.0,30.7,partial,09:45,10:45,1.25,49.9,85.6
2025-10-30,3,1008.39,4,z2z_20251030_v06,7000052,Freightliner eM2,11:19,12:19,1.0,157.9,76.0,81.9,partial,11:15,12:15,1.25,49.9,74.0
2025-10-30,3,1008.39,4,z2z_20251030_v07,7010977,GMC Hummer EV,11:20,12:20,1.0,212.7,76.0,136.7,partial,11:15,12:15,1.25,0.0,35.7
2025-10-30,3,1008.39,4,z2z_20251030_v08,7015644,Chevrolet Silverado EV WT,12:04,13:04,1.0,100.1,76.0,24.1,partial,12:00,13:00,1.25,49.9,87.9
2025-10-30,3,1008.39,4,z2z_20251030_v09,7011189,GMC Hummer EV,12:14,13:14,1.0,165.4,76.0,89.4,partial,12:00,13:00,1.25,22.3,58.0
2025-10-30,3,1008.39,4,z2z_20251030_v10,7014370,GMC Hummer EV,12:52,13:52,1.0,106.5,76.0,30.5,partial,12:45,13:45,1.25,49.9,85.6
2025-10-30,3,1008.39,4,z2z_20251030_v11,7011893,Rivian R1T,13:36,14:36,1.0,67.7,67.7,0.0,full,13:30,14:15,1.0,49.8,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v12,7011902,Rivian R1T,13:53,14:53,1.0,67.7,67.7,0.0,full,13:45,14:45,1.25,49.9,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v13,7016529,Chevrolet Silverado EV WT,13:54,13:26,23.54,138.0,138.0,0.0,full,13:45,15:30,2.0,31.0,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v14,7007321,Freightliner eM2,14:03,15:03,1.0,157.8,76.0,81.8,partial,14:00,15:00,1.25,49.9,74.0
2025-10-30,3,1008.39,4,z2z_20251030_v15,7009612,Ford F-150 Lightning,14:11,15:11,1.0,65.6,65.6,0.0,full,14:00,15:00,1.25,49.9,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v16,7016539,Chevrolet Silverado EV WT,14:15,07:32,17.28,104.5,104.5,0.0,full,14:15,15:30,1.5,47.7,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v17,7011893,Rivian R1T,14:24,15:24,1.0,72.4,72.4,0.0,full,14:15,15:15,1.25,46.4,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v18,7014344,Freightliner eCascadia,14:57,15:57,1.0,219.7,76.0,143.7,partial,14:45,15:45,1.25,49.9,67.2
2025-10-30,3,1008.39,4,z2z_20251030_v19,538809,Freightliner eCascadia,15:41,07:47,89.09,220.1,220.1,0.0,full,15:30,18:30,3.25,49.8,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v20,7011734,Chevrolet Bolt EV,17:34,18:34,1.0,32.9,32.9,0.0,full,17:30,18:00,0.75,49.4,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v21,7011734,Chevrolet Bolt EV,18:11,19:11,1.0,33.1,33.1,0.0,full,18:00,18:45,1.0,49.1,100.0
2025-10-30,3,1008.39,4,z2z_20251030_v22,7011734,Chevrolet Bolt EV,23:49,00:49,1.0,32.6,32.6,0.0,full,23:45,00:15,0.75,49.8,100.0
2026-01-08,4,921.76,5,z2z_20260108_v01,7014943,Tesla Model 3,05:56,06:56,1.0,62.0,62.0,0.0,full,05:45,06:45,1.25,24.4,100.0
2026-01-08,4,921.76,5,z2z_20260108_v02,7009766,Rivian R1T,07:55,08:55,1.0,135.0,76.0,59.0,partial,07:45,08:45,1.25,0.0,56.3
2026-01-08,4,921.76,5,z2z_20260108_v03,7016357,Ford F-150 Lightning,08:13,09:13,1.0,65.7,65.7,0.0,full,08:00,09:00,1.25,49.9,100.0
2026-01-08,4,921.76,5,z2z_20260108_v04,7009610,Ford F-150 Lightning,08:26,09:26,1.0,65.6,65.6,0.0,full,08:15,09:15,1.25,49.9,100.0
2026-01-08,4,921.76,5,z2z_20260108_v05,7016539,Chevrolet Silverado EV WT,08:58,09:58,1.0,104.4,76.0,28.4,partial,08:45,09:45,1.25,47.8,85.8
2026-01-08,4,921.76,5,z2z_20260108_v06,7012589,Rivian R1S,08:58,10:18,1.32,73.1,73.1,0.0,full,08:45,09:45,1.25,45.8,100.0
