date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-07-14,5,3,False,4,1,80.0,351.14,278.31,15.63,0.0,645.09,249.0,65500,1,True
2025-08-12,9,2,False,2,7,22.2,237.75,252.86,10.42,0.0,501.03,166.0,57000,2,True
2026-03-25,12,2,False,3,9,25.0,237.75,216.2,10.42,0.0,464.37,166.0,57000,3,True
2025-09-29,8,2,False,2,6,25.0,237.75,205.43,10.42,0.0,453.6,166.0,57000,4,True
2026-03-10,11,3,False,4,7,36.4,351.14,80.69,15.63,0.0,447.46,249.0,65500,5,True
2025-10-09,6,2,False,2,4,33.3,237.75,197.81,10.42,0.0,445.98,166.0,57000,6,True
2025-07-09,6,2,False,4,2,66.7,237.75,192.29,10.42,0.0,440.47,166.0,57000,7,True
2026-03-18,7,2,False,2,5,28.6,237.75,192.09,10.42,0.0,440.26,166.0,57000,8,True
2026-04-30,7,2,False,2,5,28.6,237.75,174.45,10.42,0.0,422.62,166.0,57000,9,True
2026-03-16,6,2,False,3,3,50.0,237.75,162.36,10.42,0.0,410.53,166.0,57000,10,True
2026-03-09,8,2,False,4,4,50.0,237.75,154.94,10.42,0.0,403.11,166.0,57000,11,False
2026-03-11,6,2,False,3,3,50.0,237.75,133.18,10.42,0.0,381.35,166.0,57000,12,False
2026-02-05,7,2,False,3,4,42.9,237.75,132.1,10.42,0.0,380.27,166.0,57000,13,False
2026-03-24,10,2,False,2,8,20.0,237.75,128.92,10.42,0.0,377.09,166.0,57000,14,False
2025-07-15,6,2,False,2,4,33.3,237.75,123.74,10.42,0.0,371.91,166.0,57000,15,False
2025-06-03,7,2,False,4,3,57.1,237.75,114.07,10.42,0.0,362.25,166.0,57000,16,False
2026-04-20,7,2,False,2,5,28.6,237.75,94.32,10.42,0.0,342.49,166.0,57000,17,False
2026-04-23,8,2,False,3,5,37.5,237.75,91.05,10.42,0.0,339.22,166.0,57000,18,False
2026-03-23,10,2,False,5,5,50.0,237.75,89.45,10.42,0.0,337.62,166.0,57000,19,False
2025-06-04,8,2,False,2,6,25.0,237.75,80.66,10.42,0.0,328.83,166.0,57000,20,False
2026-04-07,11,2,False,2,9,18.2,237.75,79.23,10.42,0.0,327.4,166.0,57000,21,False
2025-11-14,8,2,False,2,6,25.0,237.75,78.23,10.42,0.0,326.4,166.0,57000,22,False
