date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2026-03-10,11,4,False,4,7,36.4,464.54,59.86,52.83,0.0,577.23,249.0,74000,1,True
2026-02-05,7,3,False,3,4,42.9,351.14,70.99,35.22,27.18,484.53,166.0,65500,2,True
2025-09-29,8,2,False,2,6,25.0,237.75,152.74,35.22,54.35,480.06,166.0,57000,3,True
2026-03-19,6,3,False,1,5,16.7,351.14,38.44,35.22,54.35,479.16,166.0,65500,4,True
2025-08-12,9,2,False,2,7,22.2,237.75,150.77,35.22,54.35,478.09,166.0,57000,5,True
2026-04-07,11,3,False,2,9,18.2,351.14,60.41,52.83,0.0,464.38,249.0,65500,6,True
2026-03-23,10,3,False,5,5,50.0,351.14,63.09,35.22,0.0,449.45,166.0,65500,7,True
2025-07-09,6,2,False,4,2,66.7,237.75,121.02,35.22,54.35,448.34,166.0,57000,8,True
2025-08-01,7,3,False,1,6,14.3,351.14,53.53,35.22,0.0,439.89,166.0,65500,9,True
2026-03-25,12,2,False,3,9,25.0,237.75,108.73,35.22,54.35,436.04,166.0,57000,10,True
2026-04-09,5,3,False,2,3,40.0,351.14,18.53,52.83,0.0,422.51,249.0,65500,11,False
2026-04-16,7,3,False,2,5,28.6,351.14,32.98,35.22,0.0,419.34,166.0,65500,12,False
2026-04-02,7,3,False,1,6,14.3,351.14,32.86,35.22,0.0,419.22,166.0,65500,13,False
2026-03-09,8,2,False,4,4,50.0,237.75,82.94,35.22,54.35,410.26,166.0,57000,14,False
2026-03-16,6,2,False,3,3,50.0,237.75,75.06,35.22,54.35,402.38,166.0,57000,15,False
2026-04-30,7,2,False,2,5,28.6,237.75,72.48,35.22,54.35,399.8,166.0,57000,16,False
2026-03-24,10,2,False,2,8,20.0,237.75,67.32,35.22,54.35,394.64,166.0,57000,17,False
2026-03-11,6,2,False,3,3,50.0,237.75,62.18,35.22,54.35,389.5,166.0,57000,18,False
2025-06-03,7,2,False,4,3,57.1,237.75,79.88,35.22,27.18,380.02,166.0,57000,19,False
2026-04-20,7,2,False,2,5,28.6,237.75,48.13,35.22,54.35,375.45,166.0,57000,20,False
2026-04-14,7,2,False,2,5,28.6,237.75,42.63,35.22,54.35,369.95,166.0,57000,21,False
2026-04-06,8,2,False,3,5,37.5,237.75,37.04,35.22,54.35,364.36,166.0,57000,22,False
2026-04-22,8,2,False,4,4,50.0,237.75,31.76,35.22,54.35,359.07,166.0,57000,23,False
2026-04-08,5,2,False,1,4,20.0,237.75,11.66,35.22,54.35,338.98,166.0,57000,24,False
2026-02-18,7,2,False,1,6,14.3,237.75,36.14,35.22,27.18,336.28,166.0,57000,25,False
2025-06-04,8,2,False,2,6,25.0,237.75,62.42,35.22,0.0,335.38,166.0,57000,26,False
2025-06-24,9,2,False,2,7,22.2,237.75,59.16,35.22,0.0,332.13,166.0,57000,27,False
2026-04-23,8,2,False,3,5,37.5,237.75,53.0,35.22,0.0,325.97,166.0,57000,28,False
2025-11-14,8,2,False,2,6,25.0,237.75,44.72,35.22,0.0,317.69,166.0,57000,29,False
2025-12-22,6,2,False,1,5,16.7,237.75,38.91,35.22,0.0,311.88,166.0,57000,30,False
2026-04-28,8,2,False,3,5,37.5,237.75,38.28,35.22,0.0,311.25,166.0,57000,31,False
2025-06-13,6,2,False,2,4,33.3,237.75,37.66,35.22,0.0,310.62,166.0,57000,32,False
2025-07-17,4,2,False,1,3,25.0,237.75,35.44,35.22,0.0,308.41,166.0,57000,33,False
2026-04-15,7,2,False,3,4,42.9,237.75,28.57,35.22,0.0,301.54,166.0,57000,34,False
2025-09-02,9,1,False,2,7,22.2,124.35,124.07,17.61,27.18,293.21,83.0,48500,35,False
2025-07-14,5,1,False,3,2,60.0,124.35,123.6,17.61,27.18,292.74,83.0,48500,36,False
2025-09-03,6,1,False,2,4,33.3,124.35,123.18,17.61,27.18,292.32,83.0,48500,37,False
