date,worst_day_rank,total_daily_cost,n_xos_units,charging_event_id,vehicle_id,ev_model,arrival_local,departure_local,dwell_h,energy_needed_kwh,energy_delivered_kwh,energy_gap_kwh,status,charge_start,charge_end,charge_duration_h,soc_start_pct,soc_end_pct
2025-09-25,1,1698.93,7,z2z_20250925_v01,7012516,Rivian R1T,03:54,04:54,1.0,93.5,76.0,17.5,partial,03:45,04:45,1.25,30.7,87.0
2025-09-25,1,1698.93,7,z2z_20250925_v02,7012666,GMC Hummer EV,04:11,05:11,1.0,131.4,76.0,55.4,partial,04:00,05:00,1.25,38.2,74.0
2025-09-25,1,1698.93,7,z2z_20250925_v03,7016576,Ford F-150 Lightning,04:21,05:21,1.0,80.1,76.0,4.1,partial,04:15,05:15,1.25,38.9,96.9
2025-09-25,1,1698.93,7,z2z_20250925_v04,7014845,Tesla Model 3,07:00,08:00,1.0,44.2,44.2,0.0,full,07:00,07:30,0.75,46.1,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v05,7010767,Ford F-150 Lightning,08:37,09:37,1.0,70.0,70.0,0.0,full,08:30,09:30,1.25,46.6,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v06,7012336,Freightliner eCascadia,08:37,09:37,1.0,238.8,76.0,162.8,partial,08:30,09:30,1.25,45.5,62.8
2025-09-25,1,1698.93,7,z2z_20250925_v07,7016919,GMC Hummer EV,08:39,09:39,1.0,112.6,76.0,36.6,partial,08:30,09:30,1.25,47.1,82.8
2025-09-25,1,1698.93,7,z2z_20250925_v08,7016920,GMC Hummer EV,10:24,11:24,1.0,120.9,76.0,44.9,partial,10:15,11:15,1.25,43.1,78.9
2025-09-25,1,1698.93,7,z2z_20250925_v09,7003351,Ford F-150 Lightning,10:25,11:25,1.0,131.0,76.0,55.0,partial,10:15,11:15,1.25,0.0,58.0
2025-09-25,1,1698.93,7,z2z_20250925_v10,7010767,Ford F-150 Lightning,10:28,11:28,1.0,70.5,70.5,0.0,full,10:15,11:15,1.25,46.2,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v11,7012336,Freightliner eCascadia,10:28,11:28,1.0,240.6,76.0,164.6,partial,10:15,11:15,1.25,45.1,62.4
2025-09-25,1,1698.93,7,z2z_20250925_v12,7018609,GMC Hummer EV,10:32,11:32,1.0,133.8,76.0,57.8,partial,10:30,11:30,1.25,37.1,72.8
2025-09-25,1,1698.93,7,z2z_20250925_v13,7004481,Ford F-150 Lightning,11:06,12:06,1.0,71.7,71.7,0.0,full,11:00,12:00,1.25,45.2,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v14,7011042,GMC Hummer EV,11:19,12:19,1.0,166.2,76.0,90.2,partial,11:15,12:15,1.25,21.9,57.6
2025-09-25,1,1698.93,7,z2z_20250925_v15,7012336,Freightliner eCascadia,11:26,12:26,1.0,240.7,76.0,164.7,partial,11:15,12:15,1.25,45.0,62.4
2025-09-25,1,1698.93,7,z2z_20250925_v16,7018610,GMC Hummer EV,11:28,12:28,1.0,125.8,76.0,49.8,partial,11:15,12:15,1.25,40.9,76.6
2025-09-25,1,1698.93,7,z2z_20250925_v17,7010767,Ford F-150 Lightning,11:31,12:31,1.0,70.5,70.5,0.0,full,11:30,12:15,1.0,46.2,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v18,7016920,GMC Hummer EV,11:38,12:38,1.0,117.9,76.0,41.9,partial,11:30,12:30,1.25,44.6,80.3
2025-09-25,1,1698.93,7,z2z_20250925_v19,7010767,Ford F-150 Lightning,11:51,12:51,1.0,65.8,65.8,0.0,full,11:45,12:30,1.0,49.8,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v20,7014845,Tesla Model 3,12:03,13:03,1.0,45.4,45.4,0.0,full,12:00,12:30,0.75,44.7,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v21,7016492,Ford F-150 Lightning,12:09,13:09,1.0,70.7,70.7,0.0,full,12:00,13:00,1.25,46.1,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v22,7012551,Rivian R1T,12:25,13:25,1.0,125.5,76.0,49.5,partial,12:15,13:15,1.25,7.1,63.4
2025-09-25,1,1698.93,7,z2z_20250925_v23,7018609,GMC Hummer EV,12:32,13:32,1.0,118.3,76.0,42.3,partial,12:30,13:30,1.25,44.4,80.1
2025-09-25,1,1698.93,7,z2z_20250925_v24,7009623,Ford F-150 Lightning,12:56,13:56,1.0,72.8,72.8,0.0,full,12:45,13:45,1.25,44.4,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v25,7014337,Freightliner eCascadia,13:03,14:03,1.0,235.8,76.0,159.8,partial,13:00,14:00,1.25,46.2,63.5
2025-09-25,1,1698.93,7,z2z_20250925_v26,7010767,Ford F-150 Lightning,13:42,14:42,1.0,75.0,75.0,0.0,full,13:30,14:30,1.25,42.7,100.0
2025-09-25,1,1698.93,7,z2z_20250925_v27,7016919,GMC Hummer EV,13:49,14:49,1.0,134.1,76.0,58.1,partial,13:45,14:45,1.25,36.9,72.7
