date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-05-20,90,10,False,30,60,33.3,1155.87,1440.4,131.24,0.0,2727.51,830.0,165000,1,True
2025-05-29,76,10,False,20,56,26.3,1155.87,1424.37,131.24,0.0,2711.47,830.0,165000,2,True
2025-05-28,77,10,False,19,58,24.7,1155.87,1417.88,131.24,0.0,2704.99,830.0,165000,3,True
2025-08-20,86,10,False,19,67,22.1,1155.87,1405.82,131.24,0.0,2692.93,830.0,165000,4,True
2025-09-10,90,10,False,15,75,16.7,1155.87,1391.34,131.24,0.0,2678.45,830.0,165000,5,True
2025-08-11,101,10,False,21,80,20.8,1155.87,1399.37,118.12,0.0,2673.35,747.0,165000,6,True
2025-05-14,90,10,False,23,67,25.6,1155.87,1382.36,131.24,0.0,2669.46,830.0,165000,7,True
2026-04-16,91,10,False,12,79,13.2,1155.87,1385.01,118.12,0.0,2658.99,747.0,165000,8,True
2026-03-09,76,10,False,16,60,21.1,1155.87,1383.05,118.12,0.0,2657.03,747.0,165000,9,True
2025-12-09,74,10,False,12,62,16.2,1155.87,1365.59,131.24,0.0,2652.7,830.0,165000,10,True
2026-04-20,80,10,False,14,66,17.5,1155.87,1374.68,118.12,0.0,2648.67,747.0,165000,11,False
2025-08-13,85,10,False,20,65,23.5,1155.87,1359.02,131.24,0.0,2646.13,830.0,165000,12,False
2026-01-29,77,10,False,16,61,20.8,1155.87,1371.95,118.12,0.0,2645.94,747.0,165000,13,False
2025-07-22,85,10,False,19,66,22.4,1155.87,1356.49,131.24,0.0,2643.6,830.0,165000,14,False
2025-10-29,77,10,False,21,56,27.3,1155.87,1353.9,131.24,0.0,2641.01,830.0,165000,15,False
2026-01-28,71,10,False,19,52,26.8,1155.87,1352.41,131.24,0.0,2639.51,830.0,165000,16,False
